,name,url,id,popularity,followers,genres
0,Tah.,https://open.spotify.com/artist/5tbllvHfDoHsDZuTnrs9Pb,5tbllvHfDoHsDZuTnrs9Pb,44,386,[]
1,Moira Mack,https://open.spotify.com/artist/3IntPd2VgK6D2JovdxZ47V,3IntPd2VgK6D2JovdxZ47V,26,694,['pop soul']
2,Aeble,https://open.spotify.com/artist/2rj2ySmbSsmrzVGtufnXAZ,2rj2ySmbSsmrzVGtufnXAZ,43,2174,['indie soul']
3,Behind Clouds,https://open.spotify.com/artist/3H6djQE6LC4llH3i5t2tZM,3H6djQE6LC4llH3i5t2tZM,39,3145,"['focus beats', 'lo-fi beats']"
4,Rothstein,https://open.spotify.com/artist/0Qta34kIeeonfyC692s5b8,0Qta34kIeeonfyC692s5b8,36,3247,[]
5,Homage,https://open.spotify.com/artist/0Nax9ohdb2ezDUpPmT3iMz,0Nax9ohdb2ezDUpPmT3iMz,36,3627,[]
6,RED Hands,https://open.spotify.com/artist/71NpTPgQYCxTExcd2n6UT4,71NpTPgQYCxTExcd2n6UT4,32,3701,[]
7,Her Songs,https://open.spotify.com/artist/7cehRwLzdNrpS7mS8a4JZO,7cehRwLzdNrpS7mS8a4JZO,30,5434,[]
8,Michael Da Vinci,https://open.spotify.com/artist/2POqOOLcEH30IODCaW1Ytw,2POqOOLcEH30IODCaW1Ytw,35,5949,[]
9,The BREED,https://open.spotify.com/artist/5Xl8d6HbzkkwWmSQSOsv7k,5Xl8d6HbzkkwWmSQSOsv7k,50,6350,"['chillhop', 'jazz boom bap', 'lo-fi jazzhop']"
10,Yakul,https://open.spotify.com/artist/0Pi3s9W42iTzuxDp7GKIfO,0Pi3s9W42iTzuxDp7GKIfO,37,7093,"['brighton indie', 'indie r&b', 'neo r&b']"
11,Shantel May,https://open.spotify.com/artist/3dLvESWiG5LWozJmdvk6D0,3dLvESWiG5LWozJmdvk6D0,33,7192,[]
12,Kenneth Whalum,https://open.spotify.com/artist/2lnrl1gyJvhaFtNIIRnB16,2lnrl1gyJvhaFtNIIRnB16,35,8038,['neo r&b']
13,Claudia Isaki,https://open.spotify.com/artist/5Q8asiEUYLobc6DvKIsqOP,5Q8asiEUYLobc6DvKIsqOP,37,8642,['christian pop']
14,Dot Demo,https://open.spotify.com/artist/2ID5ZEW2EbdUo1oEjwJnD3,2ID5ZEW2EbdUo1oEjwJnD3,36,8770,"['indie hip hop', 'underground hip hop']"
15,Brian Fresco,https://open.spotify.com/artist/6XlV5geX7LvRcoeBnItw2I,6XlV5geX7LvRcoeBnItw2I,29,9965,['indie hip hop']
16,Kayla Rae,https://open.spotify.com/artist/0cz0uZX8a30POuEC2hDL9j,0cz0uZX8a30POuEC2hDL9j,40,10354,['denver rap']
17,Nix Northwest,https://open.spotify.com/artist/1nJX9DZHvd27lKDx8NM8Rt,1nJX9DZHvd27lKDx8NM8Rt,48,10521,['uk alternative hip hop']
18,Conor Albert,https://open.spotify.com/artist/0zJjil03QRbxSliMkw230M,0zJjil03QRbxSliMkw230M,50,10874,"['indie r&b', 'indie soul']"
19,Sugi.wa,https://open.spotify.com/artist/0XUBVuE1odesNug0oKt9Me,0XUBVuE1odesNug0oKt9Me,48,11224,"['chillhop', 'lo-fi beats']"
20,Kennedy Rd.,https://open.spotify.com/artist/1ZtRTibAPAEbO8iydpyzWu,1ZtRTibAPAEbO8iydpyzWu,28,11291,"['canadian contemporary r&b', 'indie r&b', 'pop r&b', 'trap soul']"
21,edbl,https://open.spotify.com/artist/7ncd26zzbpqgZRroBKmReO,7ncd26zzbpqgZRroBKmReO,49,11634,"['indie r&b', 'indie soul']"
22,NAYANA IZ,https://open.spotify.com/artist/2d8cMSPIFolHyxuox8ESfm,2d8cMSPIFolHyxuox8ESfm,45,11680,"['indie r&b', 'uk alternative hip hop']"
23,Jerome Thomas,https://open.spotify.com/artist/3w3vmT2hRskRBwDZdjUlAp,3w3vmT2hRskRBwDZdjUlAp,43,12189,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'neo r&b', 'uk contemporary r&b']"
24,lost spaces,https://open.spotify.com/artist/387YZVajWRq3ZPiCxiX07b,387YZVajWRq3ZPiCxiX07b,43,13060,['chill r&b']
25,Jafunk,https://open.spotify.com/artist/5KtUig38eqxK2rOtHZnz0k,5KtUig38eqxK2rOtHZnz0k,51,13086,"['funky house', 'indie soul', 'new french touch']"
26,p-rallel,https://open.spotify.com/artist/0YSI1Vwzd1u7wO7p3md4qD,0YSI1Vwzd1u7wO7p3md4qD,49,14027,['uk alternative hip hop']
27,Reuben James,https://open.spotify.com/artist/5tA28joO5iZ0eCnvyctqRH,5tA28joO5iZ0eCnvyctqRH,43,14229,"['indie r&b', 'indie soul', 'neo r&b', 'uk contemporary r&b']"
28,Kids These Days,https://open.spotify.com/artist/2A2MfAaWoDvGe0jhcZjKaY,2A2MfAaWoDvGe0jhcZjKaY,28,14677,[]
29,Marie Dahlstrom,https://open.spotify.com/artist/49NfOTfSPhrb0sJBVYS1iM,49NfOTfSPhrb0sJBVYS1iM,46,14706,"['alternative r&b', 'chill r&b', 'indie r&b', 'neo r&b', 'uk contemporary r&b']"
30,Raquel Rodriguez,https://open.spotify.com/artist/7CPwAwFBnruFlDqUQCrM1Q,7CPwAwFBnruFlDqUQCrM1Q,43,15716,"['indie r&b', 'neo r&b']"
31,Pastel,https://open.spotify.com/artist/6wa2PiIWrIhhz6lRQEGQpO,6wa2PiIWrIhhz6lRQEGQpO,48,16153,[]
32,Milky Day,https://open.spotify.com/artist/7FIqXqYZHMomTAcTXF4UHu,7FIqXqYZHMomTAcTXF4UHu,52,16726,['chill r&b']
33,Chaz French,https://open.spotify.com/artist/3BYzEWh3pY0DZpMN0hFufv,3BYzEWh3pY0DZpMN0hFufv,36,17442,['dmv rap']
34,Gwen Bunn,https://open.spotify.com/artist/6dPh96zLnVMZVHnr66WRjg,6dPh96zLnVMZVHnr66WRjg,43,17582,"['alternative r&b', 'chill r&b', 'indie r&b', 'neo r&b']"
35,Omen,https://open.spotify.com/artist/5j1BNsC9xeWGfBVCzzg6fc,5j1BNsC9xeWGfBVCzzg6fc,52,17801,['chicago rap']
36,Natalie Lauren,https://open.spotify.com/artist/0v4qnnnTMi9mgN3DUxCfHK,0v4qnnnTMi9mgN3DUxCfHK,35,18046,[]
37,Tertia May,https://open.spotify.com/artist/2l5D9yWJD8XtjzTMCKUown,2l5D9yWJD8XtjzTMCKUown,38,18360,['uk contemporary r&b']
38,CAPYAC,https://open.spotify.com/artist/5QP5fl1l4e9NmKmkMUOTF5,5QP5fl1l4e9NmKmkMUOTF5,45,18575,"['austindie', 'indie soul', 'new french touch', 'nu disco']"
39,Sasha Keable,https://open.spotify.com/artist/7MxGWmiAbqjNOGmj23wbWf,7MxGWmiAbqjNOGmj23wbWf,48,18706,['uk contemporary r&b']
40,Myke Bogan,https://open.spotify.com/artist/5BLrsIX3Uipmt9QAiZGYEl,5BLrsIX3Uipmt9QAiZGYEl,38,19704,['portland hip hop']
41,Finn Foxell,https://open.spotify.com/artist/1PK0iReBf7u59diWAXC3wR,1PK0iReBf7u59diWAXC3wR,51,19839,['uk alternative hip hop']
42,Latasha Lee,https://open.spotify.com/artist/1D8jzmybTOgH82MsFsCxKf,1D8jzmybTOgH82MsFsCxKf,44,20344,['pacific islands pop']
43,Iris Temple,https://open.spotify.com/artist/1ti0u37FfK0AO8cM2n7Ncr,1ti0u37FfK0AO8cM2n7Ncr,36,20421,['bedroom soul']
44,Marcellus Juvann,https://open.spotify.com/artist/207WozQ2u38q4rRu9quqMU,207WozQ2u38q4rRu9quqMU,44,20838,"['deep underground hip hop', 'indie hip hop', 'underground hip hop']"
45,Sam Wills,https://open.spotify.com/artist/7JFinw4LobpCUjapyKvsjo,7JFinw4LobpCUjapyKvsjo,52,20971,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'neo r&b', 'uk contemporary r&b']"
